BIBLIOGRAFÍA	AUTOR	TÍTULO	FECHA	CRITERIO	BLOQUE	MEDIO	SOPORTE	TEMA	PAÍS	ZONA	TIPOLOGÍA	NOTAS	CONCORDANCIA

«Medición acústica de la riqueza pesquera». El País. Madrid: Diario El País, S.A., 1976-05-05.		El País	1976	Primera edición	No ficción	Escrito	Prensa	Ciencias y tecnología	España			Mayúsculas no acentuadas en el original	En la campaña, denominada «Acústica Demersales Noroeste 76», se van a emplear diversos aparatos no utilizados hasta ahora en la zona, que permitirán averiguar los stocks pesqueros mediante un complejo sistema acústico.
«ENRIQUE FRANCO». El País. Madrid: Diario El País, S.A., 1977-10-06.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Artes, cultura y espectáculos	España			Mayúsculas no acentuadas en el original	. Recordemos, en cambio, aquello que todo música es, por lo pronto: sonido. La calibración sonora del piano de Pollini es un milagro. Se presenta ante nuestra atención, asalta por sorpresa nuestros oídos, sin que apenas percibamos los ataques, la naturaleza percusiva y mecánica del instrumento. Bien que la acústica de la Philarmonía favorece —hasta con algún exceso— al efecto, pero la calidad-cualidad existe. No es azaroso que en la música schoenbergiana como en la de sus seguidores o consecuentes el trabajo sobre la materia sonora constituya no sólo valor, sino principio estructural. Aplicar tal investigación a Beethoven, desde la exacta comprensión
Paso, Fernando del: Palinuro de México. Madrid: Alfaguara, 1982.	Paso, Fernando del	Palinuro de México	1977	Primera edición	Ficción	Escrito	Libro	Novela	México	México y Centroamérica		Premio de Novela México 1975. Premio Rómulo Gallegos 1982. El capítulo 24 (pp. 629-696) es una pieza de teatro. No acentúa las mayúsculas	«Una mujer sin acústica», le contesté, fiel a la espuma que tapizaba mi cara, y enjaboné el espejo, las cortinas de baño, el piso y mi pluma fuente, para rasurarles mi imagen, el dibujo de flores, la mugre y la tinta.
Paso, Fernando del: Palinuro de México. Madrid: Alfaguara, 1982.	Paso, Fernando del	Palinuro de México	1977	Primera edición	Ficción	Escrito	Libro	Novela	México	México y Centroamérica		Premio de Novela México 1975. Premio Rómulo Gallegos 1982. El capítulo 24 (pp. 629-696) es una pieza de teatro. No acentúa las mayúsculas	«¿Y qué es una mujer sin acústica?»
Feldman, Simón: La realización cinematográfica. Barcelona: Gedisa, 1996.	Feldman, Simón	La realización cinematográfica	1979	Primera edición	No ficción	Escrito	Libro	Artes, cultura y espectáculos	Argentina	Río de la Plata		No se acentúan las mayúsculas. Se ha quitado un fragmento de texto que en la edición en papel está erróneamente colocado al inicio de la página 118, y se lo ha desplazado al lugar al que corresponde, al final de la página 146.	grabación se desarrolla como sigue. La banda de diálogos se graba en "directo" si el rodaje se realiza en estudio, ya que las condiciones lo permiten; no hay ruidos parásitos incontrolables, los muros interiores del estudio están recubiertos con materiales aislantes que impiden la filtración de ruidos del exterior y mejores condiciones de acústica en el interior, etcétera. Si la filmación se desarrolla en "exteriores", sean estos al aire libre o lugares cerrados que no tengan las características del estudio, la grabación se hace difícil y, a veces, imposible. En exteriores se está sujeto a cualquier imprevisto, desde el ruido del
«Conciertos de Paraíso, Bloque y Alan Stivell». El País. Madrid: Diario El País, S.A., 1980-05-01.		El País	1980	Primera edición	No ficción	Escrito	Prensa	Artes, cultura y espectáculos	España			Mayúsculas no acentuadas en el original	pasa de misterio para entrar en lo milagroso es el caso de Paraíso. Hace apenas dos semanas el grupo trataba de presentar en el Sol su primer single, intención que no se llevó a cabo (al menos, no se escuchó casi nada) porque ellos no habían ido allí para luchar contra los elementos de una acústica nefasta y un equipo lamentable. Lo milagroso viene cuando Paraíso se sube al estradillo del Escalón y, sin haber podido ensayar demasiado (les echaron de su local), comienzan demostrando que, aparte de buenas canciones, tienen todas las condiciones para funcionar como grupo. En apenas tres días su progresión ha sido tal
Benezon, Ronaldo O.: Manual de musicoterapia. Barcelona: Paidós Ibérica, 1995.	Benezon, Ronaldo O.	Manual de musicoterapia	1981	Primera edición	No ficción	Escrito	Libro	Salud	Argentina	Río de la Plata			Area musical, que la constituyen las cátedras de Iniciación musical y flauta dulce; Metodología musical; Grupo musical; Caracterología musical I, II y III; Organología I y II; Acústica I y II; Electroacústica; Expresión Corporal I, II y III; Folklore; Coro; Educación fonal I y II; Guitarra.
Moreno-Durán, R. Humberto: El toque de Diana. Bogotá: Tercer Mundo, 1988.	Moreno-Durán, R. Humberto	El toque de Diana	1981	Primera edición	Ficción	Escrito	Libro	Novela	Colombia	Caribe continental			de champagne que se abrieron al tiempo que —¿Dónde está mamá Inés?— volvían a escucharse los compases de la marcha acompañados por los nutridos aplausos como si de una anhelada efemérides se tratara. Augusto Jota, tal vez para recuperar el sosiego, se puso en pie de improviso y el ruido de sus botas corrompió la acústica. En posición de firmes tosió dos, tres veces y tras decir secamente Que me toquen La Gallarda, le ofreció el brazo a la esposa y aún bajo el riesgo de precipitar sus proverbiales achaques gástricos derivados  dos de su fobia a la música se aprestó a bailar. Lentamente todo había vuelto a su cauce salvo dos
Vega, Henrique de la: Así sufrieron. Barcelona: Argos Vergara, 1981.	Vega, Henrique de la	Así sufrieron	1981	Primera edición	No ficción	Escrito	Libro	Salud	Colombia	Caribe continental		Aunque el texto habla de escritores famosos, en cuanto al vocabulario se trata más de un ensayo médico que literario puesto que los analiza como casos clínicos.	Y sufrirá durante doce años. Al describir sus dolores encontramos los signos expuestos en los tratados clásicos: dolores lancinantes, en relámpago, constrictivos, en coraza, etc. «No hay idea general sobre el dolor, cada paciente hace el suyo y el mal varía como la voz del cantor, según la acústica de la sala.»
