BIBLIOGRAFÍA	AUTOR	TÍTULO	FECHA	CRITERIO	BLOQUE	MEDIO	SOPORTE	TEMA	PAÍS	ZONA	TIPOLOGÍA	NOTAS	CONCORDANCIA

Revilla, Benedicto: Guatemala: El terremoto de los pobres. Madrid: Sedmay, 1976.	Revilla, Benedicto	Guatemala: El terremoto de los pobres	1976	Primera edición	No ficción	Escrito	Libro	Ciencias sociales, creencias y pensamiento	Guatemala	México y Centroamérica		Aunque el autor es español de nacimiento, vive en Guatemala hace muchos años, tiene doble nacionalidad y él mismo se declara maya por elección	sobrepuesto. Ha seguido viviendo, trabajando, llorando... Y hasta riendo —aunque la procesión se llevara por dentro—. Entre las chozas improvisadas de cartón y plástico se oye el rasgar de una guitarra con música bullanguera que es la única popular aquí. El pueblo protesta con canciones rancheras, no con lánguidos suspiros de electrónica. No, no hay tonos menores. Es la pachanga. Un grupo artístico monta su bulla en el campamento. Y se cuentan chistes y se baila. Y los niños juegan otra vez, como si nada hubiera pasado. Un grupo de niñas indígenas a las que se les rajó el colegio, viven también en tiendas de
«La Comisión de Gobernación condenó los atentados terroristas». El País. Madrid: Diario El País, S.A., 1977-02-02.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Política, economía y justicia	España			Mayúsculas no acentuadas en el original	l Reglamento de la Cámara legislativa, posiblemente por la vía de una interpretación del presidente, a pesar de la mala acogida que tuvo entre los procuradores el establecimiento del procedimiento de urgencia por este medio. La modificación viene impuesta por la necesidad de incluir en el sistema de votaciones hasta ahora vigente las nuevas posibilidades que la electrónica permite, tales como la votación nominal secreta no publicable, la votación secreta no nominal y otras.
El País. Madrid: Diario El País, S.A., 1977-08-28.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Artes, cultura y espectáculos	España				Todas las vertientes de la música euskérica, desde el bertsolarismo hasta la música serial, desde los instrumentos prehistóricos a la electrónica están tratados en el libro, que se inicia con un capítulo dedicado a resaltar los problemas musicales que tiene planteados el País Vasco, al que sigue otro, muy constructivo, que lleva por título Hacia la nueva música vasca.
«El traslado de maestras vascas perjudica la enseñanza bilingüe». El País. Madrid: Diario El País, S.A., 1977-09-09.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Ciencias sociales, creencias y pensamiento	España				El origen de este insólito trasvase de maestros de unas regiones a otras es puramente mecánico: por primera vez se ha encargado a un ordenador electrónico la adjudicación de plazas de profesores de EGB, con el resultado de que centenares de maestros preparan ahora mismo sus maletas para trasladarse allí donde determinó la electrónica.
El País. Madrid: Diario El País, S.A., 1977-09-13.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España				siempre según una clasificación provisional, pues no se consideran en la carrera los tiempos reales, sino los compensados según las características de cada barco, marcha el británico ADC Accutrac, cuyo patrón es una mujer, Clare Francis. Construido en polyester tiene cerca de veinte metros de eslora y su nombre responde a una firma inglesa de electrónica.
«Thomas Pynchon: una panorámica del caos». El País. Madrid: Diario El País, S.A., 1977-09-18.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Ciencias sociales, creencias y pensamiento	España			Mayúsculas no acentuadas en el original	La subasta del lote 49 aparece, al mismo tiempo, en dos vertientes, como una gigantesca sátira de la sociedad americana a través de sabios ingredientes, y como una novela críptica y eminentemente simbólica. Pynchon utiliza como base de operaciones una zona de la costa californiana. La electrónica, la televisión, la música pop, el teatro jacobino y los servicios postales se entrelazan, dejando caer, casualmente, ciertas pistas, acrósticos, grafittis, juegos de palabras, jeroglíficos, símbolos que Edipa Maas descifra pacientemente, sumergida hasta el fin en la vasta conspiración del "Tristero".
«Por Carmen Ortúzar». Revista Hoy. Santiago de Chile: 1978-02-07.		Revista Hoy	1978	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	Chile	Chilena		Procesado por medio de un programa de reconocimiento de voz	directo —vía satélite— para comprar información a 70 bancos de datos de EE.UU. Este será uno de los logros más significativos del organismo chileno que autofinancia las ocho áreas de la investigación que desarrolla: industrias alimentarias y microbiología; química, metalurgia extractiva, diseño y metalmecánica; información y documentación, estudios y gestión, electrónica y dirección de comercialización.
«Novedades en la familia». Revista Hoy. Santiago de Chile: 1978-11-14.		Revista Hoy	1978	Primera edición	No ficción	Escrito	Prensa	Política, economía y justicia	Chile	Chilena		Procesado por medio de un programa de reconocimiento de voz	Del matrimonio entre una máquina de escribir y la electrónica nació en la familia Olivetti, TES 401. Sus características: una memoria que registra hasta siete mil 500 caracteres, un display (especie de pantalla) donde desfilan todas las palabras que se "teclean" en la máquina de escribir, minidiscos que graban texto repetitivos como contratos y cartas y, por último, tipos de letras
«La red INCA podrá conectar con 140 bases de datos». El País. Madrid: Diario El País, S.A., 1978-07-05.		El País	1978	Primera edición	No ficción	Escrito	Prensa	Ciencias y tecnología	España			Mayúsculas no acentuadas en el original	Desde que en 1962 la NASA ofreció a los investigadores de todo el mundo su Banco de Datos, con 765.000 referencias, desde la electrónica normal a la tecnología aeroespacial, han aparecido otras empresas del mismo o parecido signo que se han integrado en unos canales de oferta común.
«Electrónica». Clarín. Buenos Aires: 1979-01-25.		Clarín	1979	Primera edición	No ficción	Escrito	Prensa	Política, economía y justicia	Argentina	Río de la Plata		Procesado por medio de un programa de reconocimiento de voz	Electrónica
«Electrónica». Clarín. Buenos Aires: 1979-01-25.		Clarín	1979	Primera edición	No ficción	Escrito	Prensa	Política, economía y justicia	Argentina	Río de la Plata		Procesado por medio de un programa de reconocimiento de voz	Comisión de Promoción Comercial de la Asociación Nacional de Industrias Electrónicas de España (ANIEL), expuso —ante un nutrido y representativo grupo de industriales argentinos— el propósito de los industriales españoles del ramo electrónico de estrechar vínculos comerciales en profundidad con la industria electrónica argentina, continuando la línea de la misión comercial española de electrónica del año anterior.
«Derecha y centro». El País. Madrid: Diario El País, S.A., 1979-12-11.		El País	1979	Primera edición	No ficción	Escrito	Prensa	Política, economía y justicia	España			Mayúsculas no acentuadas en el original	hacer frente a las exigencias, aspiraciones y problemas de la sociedad que tiene delante. Cuarenta años son casi medio siglo. ¡Y qué medio siglo! Sin grave error puede afirmarse que no hubo un período de la historia humana con tantas y tan profundas modificaciones como las sucedidas de 1939 acá. El mundo de la electrónica y de la informática, con sus espectaculares incidencias en la existencia cotidiana de todos; la era nuclear instalada en el orden militar y civil con un cúmulo de resultados y condicionamientos positivos y negativos; los cohetes, satélites y estaciones espaciales. El despertar del Tercer Mundo y de los grandes movimientos populares y religiosos de diverso
Fernández Ordóñez, Francisco: La España necesaria. Madrid: Taurus, 1980.	Fernández Ordóñez, Francisco	La España necesaria	1980	Primera edición	No ficción	Escrito	Libro	Política, economía y justicia	España				Hiroshima hasta la guerra del Kippur, ha visto uno de los períodos de innovación y crecimiento más espectaculares de la historia. Enmarcado en un contexto político de guerras geográficamente localizadas, en un clima de equilibrio nuclear, las sociedades industriales han hecho aparecer en este período la penicilina, las sulfamidas, la televisión, la electrónica, el radar, la aviación a reacción, los transistores, el computador, los grandes avances biológicos y farmacológicos. En la noche del 21 al 22 de julio de 1969, las pantallas de televisión nos transmitieron la imagen de los hombres pisando el suelo helado e indiferente de la Luna.
Fernández Ordóñez, Francisco: La España necesaria. Madrid: Taurus, 1980.	Fernández Ordóñez, Francisco	La España necesaria	1980	Primera edición	No ficción	Escrito	Libro	Política, economía y justicia	España				política decidida, con prioridades rotundamente expresadas en varias líneas fundamentales: a) el apoyo racional a los sectores con problemas, definiendo los casos y formas de participación del sector público; b) el mismo apoyo racional y decidido a los sectores tecnológicamente avanzados. Comúnmente se citan como los grandes sectores del futuro la electrónica, la explotación de los recursos energéticos y mineros de los océanos, el desarrollo de nuevas técnicas de energía, la bioindustria. Pero, para España, la inversión energética es la prioridad de las prioridades.
«Aniel denuncia a RTVE por demorar las inversiones para el Mundial». El País. Madrid: Diario El País, S.A., 1980-06-03.		El País	1980	Primera edición	No ficción	Escrito	Prensa	Política, economía y justicia	España			Mayúsculas no acentuadas en el original	La demora en la puesta en marcha de las inversiones de Radiotelevisión Española para el Mundial de Fútbol de 1982 ha superado ya el punto de no retorno, lo que supone un gravísimo perjuicio para el desarrollo tecnológico del sector de la industria electrónica española, según afirmó Antonio Farré, subdirector general de Industria e Automoción y Electrónica, en el transcurso de una mesa redonda sobre «Organización y recursos técnicos de TVE: Mundial 82 y autonomías», organizado por el Colegio Oficial de Ingenieros de Telecomunicación.
«Entrevista con el ex líder de Génesis». El País. Madrid: Diario El País, S.A., 1980-10-11.		El País	1980	Primera edición	No ficción	Escrito	Prensa	Artes, cultura y espectáculos	España			Mayúsculas no acentuadas en el original	«Oh, bueno, realmente no tengo una idea muy precisa sobre eso. Estoy interesado en explorar ritmos primitivos, con un cierto sentimiento africano, a los cuales poderles añadir la electrónica».
«Entrevista con el ex líder de Génesis». El País. Madrid: Diario El País, S.A., 1980-10-11.		El País	1980	Primera edición	No ficción	Escrito	Prensa	Artes, cultura y espectáculos	España			Mayúsculas no acentuadas en el original	siendo importante. Lo que ocurre es que antes yo componía primero la melodía y los acordes y ahora comienzo por los ritmos. El resultado final es como la vida misma: momentos muy vacíos y simples y otros tremendamente recargados y obsesivos, en un contraste continuo. Como el que existe entre esos ritmos básicos y la electrónica o las melodías-baladas que canto».
«Entrevista con el ex líder de Génesis». El País. Madrid: Diario El País, S.A., 1980-10-11.		El País	1980	Primera edición	No ficción	Escrito	Prensa	Artes, cultura y espectáculos	España			Mayúsculas no acentuadas en el original	«Pero la electrónica puede resultar en algo automático».
«&#34;Sólo la reestructuración industrial por sectores puede evitar que vayan al paro todos los trabajadores&#34;». El País. Madrid: Diario El País, S.A., 1980-11-02.		El País	1980	Primera edición	No ficción	Escrito	Prensa	Política, economía y justicia	España			Mayúsculas no acentuadas en el original	Estos sectores son el energético, el agroalimentario y la electrónica. respecto al primero, aparte lo ya señalado anteriormente, la reducción de nuestra dependencia energética del petróleo en un 50 % para 1987 constituye un objetivo que comporta la inversión de 430.000 millones de pesetas. Una vez alcanzado este objetivo, habrá que plantearse otros nuevos para conseguir la generalización de la electrificación de las
«&#34;Sólo la reestructuración industrial por sectores puede evitar que vayan al paro todos los trabajadores&#34;». El País. Madrid: Diario El País, S.A., 1980-11-02.		El País	1980	Primera edición	No ficción	Escrito	Prensa	Política, economía y justicia	España			Mayúsculas no acentuadas en el original	El último de los sectores de futuro en los que la apuesta de Industria está ya decidida es el de la electrónica, en el que España está hoy en mantillas. No obstante, tenemos capacidad de crecimiento en la electrónica de consumo.
«&#34;Sólo la reestructuración industrial por sectores puede evitar que vayan al paro todos los trabajadores&#34;». El País. Madrid: Diario El País, S.A., 1980-11-02.		El País	1980	Primera edición	No ficción	Escrito	Prensa	Política, economía y justicia	España			Mayúsculas no acentuadas en el original	El último de los sectores de futuro en los que la apuesta de Industria está ya decidida es el de la electrónica, en el que España está hoy en mantillas. No obstante, tenemos capacidad de crecimiento en la electrónica de consumo.
«&#34;Sólo la reestructuración industrial por sectores puede evitar que vayan al paro todos los trabajadores&#34;». El País. Madrid: Diario El País, S.A., 1980-11-02.		El País	1980	Primera edición	No ficción	Escrito	Prensa	Política, economía y justicia	España			Mayúsculas no acentuadas en el original	En este sentido, existe una capacidad de coordinación administrativa muy fuerte que permite que las compras del sector público en el sector de la electrónica e informática pueda constituir un importante punto de apoyo para generar una tecnología propia.
