BIBLIOGRAFÍA	AUTOR	TÍTULO	FECHA	CRITERIO	BLOQUE	MEDIO	SOPORTE	TEMA	PAÍS	ZONA	TIPOLOGÍA	NOTAS	CONCORDANCIA

Ortiz, Fernando: La música afrocubana. Gijón: Ediciones Júcar, 1975.	Ortiz, Fernando	La música afrocubana	1975	Primera edición	No ficción	Escrito	Libro	Artes, cultura y espectáculos	Cuba	Antillas			musical de su sonoridad, al entrechocar unas  con otras. Osvaldo Morales Patiño ha estudiado las olivas sonoras de México y Cuba, así las arqueológicas como otras construidas recientemente, y ha comprobado que, así las arqueológicas olivas sonoras de México como las de Cuba, tienen una sola nota, que es el La natural de 870 vibraciones, "diferenciándose apenas en un semitono, que lo dan, unas más grave, las de la abertura superior lineal, y otras más agudo". Y el mismo sonido dan las olivas actuales de Cuba, una vez cortadas como las antiguas de los indios. Esos cascabeles eran colgados de brazos y piernas en
Ortiz, Fernando: La música afrocubana. Gijón: Ediciones Júcar, 1975.	Ortiz, Fernando	La música afrocubana	1975	Primera edición	No ficción	Escrito	Libro	Artes, cultura y espectáculos	Cuba	Antillas			misma forma parte: la religión, la magia, la literatura, la escuela, la moral, la esclavitud, el feudalismo, la corte, la iglesia, la guerra, la agricultura, la industria, el comercio, el lujo, el salario, la miseria, la prostitución, el crimen; todas las vibraciones sociales aportan su sonoridad a la gran sinfonía musical. Si así ocurre en la música de cualquier pueblo, con más razón ha de advertirse en la música popular de Cuba por las grandes complejidades étnicas, políticas, económicas, religiosas, artísticas y sociales de todo género a través de las cuales ha corrido la historia de esta
Ortiz, Fernando: La música afrocubana. Gijón: Ediciones Júcar, 1975.	Ortiz, Fernando	La música afrocubana	1975	Primera edición	No ficción	Escrito	Libro	Artes, cultura y espectáculos	Cuba	Antillas			, con lograrlo, dice lo que desea haciéndose comprender, y conmueve y lleva una emoción de inequívoco sentido burlesco a quienes la oyen. La artificiosidad por sí sola jamás dará belleza. Será música que por exceso de elaboración se sale de los ámbitos del arte asequible, a manera de una música de vibraciones supersonicas que la gente es incapaz de oír o de un discurso en lenguaje desconocido que, por estrambólico, nadie puede entender. Esa será música sin ánima, música desalmada y sin auditorio, incapaz de plena convivencia en la sociedad humana. En el lenguaje familiar castellano se diría de ella que es "pura solfa"
Ortiz, Fernando: La música afrocubana. Gijón: Ediciones Júcar, 1975.	Ortiz, Fernando	La música afrocubana	1975	Primera edición	No ficción	Escrito	Libro	Artes, cultura y espectáculos	Cuba	Antillas			fuente, es ya en sus prístinas manifestaciones una confluencia de impulsos de amor, de expresión, de actividad, de movimiento y de misterio, no habremos de hallar otra música, cual la de los negros, más cerca de esa primitiva torrentera donde tantos sentimientos vacían y confunden sus borbotantes impulsiones, brotadas espontáneamente de las vibraciones de la vida y arrebatadoras hasta el delirio, libres de las preconceptuaciones filosofantes que son propias de otras civilizaciones. La música negra, más cuando más genuina, le dará el deleite de una inmersión en las aguas virginales de un torrente precipitado en la selva sombría a quien sólo acostumbra el baño en la rutina casera o
Ortiz, Fernando: La música afrocubana. Gijón: Ediciones Júcar, 1975.	Ortiz, Fernando	La música afrocubana	1975	Primera edición	No ficción	Escrito	Libro	Artes, cultura y espectáculos	Cuba	Antillas			lleva consigo a las nuevas e infinitas perspectivas que las técnicas gráficas abren para la música, el baile y la poesía. A veces extraviándolas hasta ciertas deformaciones derivadas de sus formas gráficas, cuando la música en el pentagrama y la poesía en la escritura se alejan demasiado de los valores sonoros y de sus infinitas vibraciones y sinuosidades, son más para leídas sólo mentalmente que para pronunciadas con la voz, y caen en artificio culterano o "mentalista", que les da una estructura más arquitectónica,  rígida, fría y en definitiva menos expresiva y natural.
Ortiz, Fernando: La música afrocubana. Gijón: Ediciones Júcar, 1975.	Ortiz, Fernando	La música afrocubana	1975	Primera edición	No ficción	Escrito	Libro	Artes, cultura y espectáculos	Cuba	Antillas			El ritmo es ciertamente una, repetición de unidades; pero para su trascendencia humana ha de ser en cada caso ajustable a la capacidad receptiva de quienes han de ser impresionados por él así al expresarlo como al recibirlo. De la misma manera que hay sonidos que no se oyen, o sean vibraciones ultrasónicas que el ser humano no puede percibir por excesivas o por escasas, que le perturban la audición, así parece que hay ritmos que ciertos individuos no pueden captar o sufrir. Por eso, la simple repetición no basta. Aunque su fundamento es la repetición,  el ritmo no es sólo repetición de unidades sino ordenada
Ortiz, Fernando: La música afrocubana. Gijón: Ediciones Júcar, 1975.	Ortiz, Fernando	La música afrocubana	1975	Primera edición	No ficción	Escrito	Libro	Artes, cultura y espectáculos	Cuba	Antillas			decir cierta vez a una vieja morena, aludiendo a un canto de breves vocablos monosílabos que nos parecieron inexpresivos, que lo mejor no está en las palabras sino en "lo que está dentro del cantao", refiriéndose probablemente, al complejo reflejo de emociones e ideas que en ella se  evocaban por las vibraciones del cantao, a la vez palabras exóticas, música y conjunto de tradicional alegorismo.
«SALVADOR SENENT». Senent, Salvador: Cincuentenario de la mecánica cuántica. Madrid: RACEFN, 1975.	Senent, Salvador	Cincuentenario de la mecánica cuántica	1975	Primera edición	No ficción	Escrito	Libro	Ciencias y tecnología	España				fue la conjunción de la metodología tradicional mecanocuántica con las propiedades de simetría de las funciones propias moleculares. Esta conjunción se logra por aplicación del algoritmo conocido como Teoría de Grupos, que permite llevar a cabo la caracterización de los niveles energéticos moleculares, tanto los electrónicos, como los debidos a estados energéticos de rotación y vibración. La aplicación de la Teoría de Grupos fue, desde entonces y lo será en lo sucesivo, una eficaz ayuda en la sistematización y simplificación de los cálculos mecanocuánticos y con esta teoría fue fácil estudiar muchas propiedades moleculares relacionadas con la  forma y simetría de las moléculas, sobre todo en lo que se refiere a la
«SALVADOR SENENT». Senent, Salvador: Cincuentenario de la mecánica cuántica. Madrid: RACEFN, 1975.	Senent, Salvador	Cincuentenario de la mecánica cuántica	1975	Primera edición	No ficción	Escrito	Libro	Ciencias y tecnología	España				Prefiero referirme más bien a todos los problemas que derivan de la aproximación Born-Oppenheimer, una vez separado el operador electrónico y la función propia electrónica. El operador de Hamilton restante se descompone después en diversas contribuciones que dan cuenta de las energías de rotación, vibración, de spin nuclear, acoplamientos entre spines, acoplamientos de cuadrupolo, etc. Ya en posesión del lenguaje riguroso de la Mecánica Cuántica, se puede describir la distribución de los diversos tipos de niveles energéticos, de acuerdo con la cuantización de sus energías, momentos angulares y componentes de estos momentos y de las propiedades de simetría de
«SALVADOR SENENT». Senent, Salvador: Cincuentenario de la mecánica cuántica. Madrid: RACEFN, 1975.	Senent, Salvador	Cincuentenario de la mecánica cuántica	1975	Primera edición	No ficción	Escrito	Libro	Ciencias y tecnología	España				describir la distribución de los diversos tipos de niveles energéticos, de acuerdo con la cuantización de sus energías, momentos angulares y componentes de estos momentos y de las propiedades de simetría de las correspondientes funciones propias. El desarrollo del problema lleva a la justificación y clasificación de los estados de rotación y sus degeneraciones, de los de vibración y la separación en modos determinados de vibración de la molécula, considerándoles en principio como independientes. Un tratado fundamental que analiza con todo detalle esta problemática, es la obra de Herzberg, de un valor incalculable. También se deduce la forma de escisión de los estados de spin y spin nuclear por la acción de
